h;X;Freq;Z
2;6.5;8.54;43,03515
2;6.5;8.56;43,38187
2;6.5;8.58;42,09488
2;6.5;8.6;42,94381
2;6.5;8.62;42,55407
2;6.5;8.64;43,99523
2;6.5;8.66;43,39973
2;6.5;8.68;43,48116
2;6.5;8.7;44,41823
2;6.5;8.72;44,77812
2;6.5;8.74;44,57718
2;6.5;8.76;43,93037
2;6.5;8.78;44,99876
2;6.5;8.8;45,14753
2;6.5;8.82;44,29719
2;6.5;8.84;45,02050
2;6.5;8.86;44,79446
2;6.5;8.88;45,35351
2;6.5;8.9;45,95578
2;6.5;8.92;46,01270
2;6.5;8.94;46,23947
2;6.5;8.96;45,85952
2;6.5;8.98;46,05511
2;6.5;9;46,33555
2;6.5;9.02;46,42044
2;6.5;9.04;46,94067
2;6.5;9.06;47,11057
2;6.5;9.08;47,48269
2;6.5;9.1;46,63979
2;6.5;9.12;48,08333
2;6.5;9.14;47,84704
2;6.5;9.16;47,69011
2;6.5;9.18;47,89175
2;6.5;9.2;48,29114
2;6.5;9.22;48,51002
2;6.5;9.24;48,53043
2;6.5;9.26;49,11476
2;6.5;9.28;50,01262
2;6.5;9.3;49,94340
2;6.5;9.32;49,30037
2;6.5;9.34;50,02262
2;6.5;9.36;49,36020
2;6.5;9.38;50,32490
2;6.5;9.4;50,63698
2;6.5;9.42;50,62416
2;6.5;9.44;50,66025
2;6.5;9.46;52,36460
2;6.5;9.48;52,07991
2;6.5;9.5;52,01132
2;6.5;9.52;52,41882
2;6.5;9.54;51,98029
2;6.5;9.56;53,27660
2;6.5;9.58;52,39385
2;6.5;9.6;53,52066
2;6.5;9.62;52,36439
2;6.5;9.64;52,71520
2;6.5;9.66;52,88241
2;6.5;9.68;53,22910
2;6.5;9.7;52,29261
2;6.5;9.72;53,31439
2;6.5;9.74;53,88243
2;6.5;9.76;53,75676
2;6.5;9.78;52,46627
2;6.5;9.8;53,03953
2;6.5;9.82;53,24531
2;6.5;9.84;52,17724
2;6.5;9.86;52,10226
2;6.5;9.88;51,82682
2;6.5;9.9;52,38335
2;6.5;9.92;52,46904
2;6.5;9.94;50,73242
2;6.5;9.96;50,65232
2;6.5;9.98;51,80153
2;6.5;10;51,11906
2;6.5;10.02;49,65709
2;6.5;10.04;50,68715
2;6.5;10.06;49,61412
2;6.5;10.08;50,03667
2;6.5;10.1;49,34852
2;6.5;10.12;48,98659
2;6.5;10.14;49,70684
2;6.5;10.16;49,01191
2;6.5;10.18;49,59637
2;6.5;10.2;48,38460
2;6.5;10.22;47,36719
2;6.5;10.24;48,21320
2;6.5;10.26;48,03062
2;6.5;10.28;46,73303
2;6.5;10.3;47,36193
2;6.5;10.32;47,50001
2;6.5;10.34;46,98920
2;6.5;10.36;47,10744
2;6.5;10.38;46,37375
2;6.5;10.4;46,87530
2;6.5;10.42;46,68863
2;6.5;10.44;46,49335
2;6.5;10.46;46,19570
2;6.5;10.48;44,43545
2;6.5;10.5;44,64376
2;6.5;10.52;45,35082
2;6.5;10.54;45,19599
2;6.5;10.56;45,00959
2;6.5;10.58;45,09134
2;6.5;10.6;44,34296
2;6.5;10.62;44,55812
2;6.5;10.64;43,94671
2;6.5;10.66;44,20316
2;6.5;10.68;43,83154
2;6.5;10.7;43,70862
2;6.5;10.72;43,38886
2;6.5;10.74;42,36130
2;6.5;10.76;42,81438
2;6.5;10.78;42,83729
2;6.5;10.8;42,36611
2;6.5;10.82;43,07045
2;6.5;10.84;42,85108
2;6.5;10.86;42,44429
2;6.5;10.88;41,93763
2;6.5;10.9;42,00530
2;6.5;10.92;42,22562
2;6.5;10.94;42,04814
2;6.5;10.96;42,73313
2;6.5;10.98;42,86678
2;6.5;11;42,16165
2;6.5;11.02;41,96130
2;6.5;11.04;41,13187
2;6.5;11.06;41,20754
2;6.5;11.08;41,79718
2;6.5;11.1;40,41316
2;6.5;11.12;40,45934
2;6.5;11.14;40,91631
2;6.5;11.16;40,81179
2;6.5;11.18;41,27210
2;6.5;11.2;41,07700
2;6.5;11.22;40,52747
2;6.5;11.24;39,26496
2;6.5;11.26;39,84435
2;6.5;11.28;40,62249
2;6.5;11.3;40,08292
2;6.5;11.32;39,38301
2;6.5;11.34;40,78360
2;6.5;11.36;40,64203
2;6.5;11.38;40,62755
2;6.5;11.4;39,55580
2;6.5;11.42;39,56107
2;6.5;11.44;39,00730
2;6.5;11.46;38,65116
2;6.5;11.48;39,26726
2;6.5;11.5;39,39318
2;6.5;11.52;39,03682
2;6.5;11.54;38,89137
2;6.5;11.56;38,93046
2;6.5;11.58;39,77969
2;6.5;11.6;38,96602
2;6.5;11.62;38,86295
2;6.5;11.64;38,57508
2;6.5;11.66;38,97838
2;6.5;11.68;39,15587
2;6.5;11.7;37,67013
2;6.5;11.72;37,75767
2;6.5;11.74;37,71469
2;6.5;11.76;37,48184
2;6.5;11.78;37,56627
2;6.5;11.8;37,59732
2;6.5;11.82;38,65245
2;6.5;11.84;37,50552
2;6.5;11.86;38,57066
2;6.5;11.88;37,69875
2;6.5;11.9;37,67681
2;6.5;11.92;38,68381
2;6.5;11.94;37,90523
2;6.5;11.96;38,46914
2;6.5;11.98;38,10505
2;6.5;12;37,35495
2;6.5;12.02;37,84125
2;6.5;12.04;36,77183
2;6.5;12.06;36,84521
2;6.5;12.08;36,97332
2;6.5;12.1;36,99390
2;6.5;12.12;37,31265
2;6.5;12.14;37,00985
2;6.5;12.16;36,93742
2;6.5;12.18;37,60703
2;6.5;12.2;37,21889
2;6.5;12.22;37,04752
2;6.5;12.24;36,37142
2;6.5;12.26;36,68686
2;6.5;12.28;36,98015
2;6.5;12.3;36,74328
2;6.5;12.32;37,66457
2;6.5;12.34;36,21246
2;6.5;12.36;37,37772
2;6.5;12.38;36,67895
2;6.5;12.4;36,20183
3;6.5;8.2;41,71122
3;6.5;8.22;41,82438
3;6.5;8.24;41,73863
3;6.5;8.26;40,92903
3;6.5;8.28;41,07712
3;6.5;8.3;40,98978
3;6.5;8.32;42,10313
3;6.5;8.34;43,25724
3;6.5;8.36;42,77552
3;6.5;8.38;42,98298
3;6.5;8.4;43,24997
3;6.5;8.42;42,54195
3;6.5;8.44;41,81093
3;6.5;8.46;41,79403
3;6.5;8.48;42,34601
3;6.5;8.5;44,03386
3;6.5;8.52;43,23930
3;6.5;8.54;44,00739
